itemid,label,LEVEL1,LEVEL2
211,heart rate,heart rate,heart rate
618,respiratory rate,respiratory rate,respiratory rate
646,spo2,pulse oximetry,oxygen saturation
220045,heart rate,heart rate,heart rate
220210,respiratory rate,respiratory rate,respiratory rate
220277,o2 saturation pulseoxymetry,pulse oximetry,oxygen saturation
455,nbp [systolic],systolic blood pressure (noninvasive),systolic blood pressure
8441,nbp [diastolic],diastolic blood pressure (noninvasive),diastolic blood pressure
456,nbp mean,mean blood pressure (noninvasive),mean blood pressure
51,arterial bp [systolic],systolic blood pressure (arterial),systolic blood pressure
8368,arterial bp [diastolic],diastolic blood pressure (arterial),diastolic blood pressure
52,arterial bp mean,mean blood pressure (arterial),mean blood pressure
220181,non invasive blood pressure mean,mean blood pressure (noninvasive),mean blood pressure
220179,non invasive blood pressure systolic,systolic blood pressure (noninvasive),systolic blood pressure
220180,non invasive blood pressure diastolic,diastolic blood pressure (noninvasive),diastolic blood pressure
198,gcs total,glascow coma scale total,glascow coma scale total
113,cvp,central venous pressure,central venous pressure
220052,arterial blood pressure mean,mean blood pressure (arterial),mean blood pressure
220050,arterial blood pressure systolic,systolic blood pressure (arterial),systolic blood pressure
220051,arterial blood pressure diastolic,diastolic blood pressure (arterial),diastolic blood pressure
678,temperature f,temperature (f),temperature
677,temperature c (calc),temperature (c),temperature
223761,temperature fahrenheit,temperature (f),temperature
492,pap [systolic],pulmonary artery pressure systolic,pulmonary artery pressure systolic
811,glucose (70-105),glucose,glucose
190,fio2 set,fraction inspired oxygen set,fraction inspired oxygen set
807,fingerstick glucose,glucose,glucose
220074,central venous pressure,central venous pressure,central venous pressure
679,temperature f (calc),temperature (f),temperature
676,temperature c,temperature (c),temperature
829,potassium (3.5-5.3),potassium,potassium
813,hematocrit,hematocrit,hematocrit
1529,glucose,glucose,glucose
225664,glucose finger stick,glucose (finger stick),glucose
780,arterial ph,ph (arterial),ph
506,peep set,positive end-expiratory pressure set,positive end-expiratory pressure set
223835,inspired o2 fraction,fraction inspired oxygen,fraction inspired oxygen
1535,potassium,potassium,potassium
615,resp rate (total),respiratory rate (total),respiratory rate
777,arterial co2(calc),"co2 (etco2, pco2, etc.)","co2 (etco2, pco2, etc.)"
778,arterial paco2,partial pressure of carbon dioxide (arterial),partial pressure of carbon dioxide
779,arterial pao2,partial pressure of oxygen,partial pressure of oxygen
1126,art.ph,ph (arterial),ph
837,sodium (135-148),sodium,sodium
116,cardiac index,cardiac index,cardiac index
791,creatinine (0-1.3),creatinine,creatinine
781,bun (6-20),blood urea nitrogen,blood urea nitrogen
220545,hematocrit (serum),hematocrit (serum),hematocrit
828,platelets,platelets,platelets
821,magnesium (1.6-2.6),magnesium,magnesium
788,chloride (100-112),chloride,chloride
787,carbon dioxide,co2,co2
814,hemoglobin,hemoglobin,hemoglobin
626,svr,systemic vascular resistance,systemic vascular resistance
861,"wbc (4-11,000)",white blood cell count,white blood cell count
227442,potassium (serum),potassium (serum),potassium serum
833,rbc,red blood cell count,red blood cell count
220645,sodium (serum),sodium (serum),sodium
220602,chloride (serum),chloride (serum),chloride
491,pap mean,pulmonary artery pressure mean,pulmonary artery pressure mean
1127,"wbc   (4-11,000)",white blood cell count,white blood cell count
90,c.o.(thermodilution),cardiac output thermodilution,cardiac output thermodilution
1536,sodium,sodium,sodium
220339,peep set,positive end-expiratory pressure set,positive end-expiratory pressure set
220615,creatinine,creatinine,creatinine
225624,bun,blood urea nitrogen,blood urea nitrogen
227443,hco3 (serum),bicarbonate (serum),bicarbonate
220621,glucose (serum),glucose (serum),glucose
619,respiratory rate set,respiratory rate set,respiratory rate set
227073,anion gap,anion gap,anion gap
220635,magnesium,magnesium,magnesium
220228,hemoglobin,hemoglobin,hemoglobin
227457,platelet count,platelets,platelets
682,tidal volume (obser),tidal volume observed,tidal volume observed
827,phosphorous(2.7-4.5),phosphorous,phosphorous
224685,tidal volume (observed),tidal volume observed,tidal volume observed
220546,wbc,white blood cell count,white blood cell count
1525,creatinine,creatinine,creatinine
1162,bun,blood urea nitrogen,blood urea nitrogen
786,calcium (8.4-10.2),calcium,calcium
1532,magnesium,magnesium,magnesium
1523,chloride,chloride,chloride
614,resp rate (spont),respiratory rate (spontaneous),respiratory rate
224695,peak insp. pressure,peak inspiratory pressure,peak inspiratory pressure
683,tidal volume (set),tidal volume set,tidal volume set
224689,respiratory rate (spontaneous),respiratory rate (spontaneous),respiratory rate
825,ptt(22-35),partial thromboplastin time,partial thromboplastin time
816,ionized calcium,calcium ionized,calcium ionized
535,peak insp. pressure,peak inspiratory pressure,peak inspiratory pressure
225677,phosphorous,phosphorous,phosphorous
225625,calcium non-ionized,calcium non-ionized,calcium
223830,ph (arterial),ph (arterial),ph
1542,wbc,white blood cell count,white blood cell count
815,inr (2-4 ref. range),prothrombin time,prothrombin time inr
824,pt(11-13.5),prothrombin time,prothrombin time pt
220235,arterial co2 pressure,partial pressure of carbon dioxide (arterial),partial pressure of carbon dioxide
225698,tco2 (calc) arterial,"co2 (etco2, pco2, etc.)","co2 (etco2, pco2, etc.)"
220059,pulmonary artery pressure systolic,pulmonary artery pressure systolic,pulmonary artery pressure systolic
1534,phosphorous,phosphorous,phosphorous
1522,calcium,calcium,calcium
224690,respiratory rate (total),respiratory rate (total),respiratory rate
543,plateau pressure,plateau pressure,plateau pressure
1533,ptt,partial thromboplastin time,partial thromboplastin time
227466,ptt,partial thromboplastin time,partial thromboplastin time
1530,inr,prothrombin time,prothrombin time inr
1286,pt,prothrombin time,prothrombin time pt
227467,inr,prothrombin time,prothrombin time inr
227465,prothrombin time,prothrombin time,prothrombin time pt
684,tidal volume (spont),tidal volume spontaneous,tidal volume spontaneous
224688,respiratory rate (set),respiratory rate set,respiratory rate set
224684,tidal volume (set),tidal volume set,tidal volume set
226537,glucose (whole blood),glucose (whole blood),glucose
834,sao2,oxygen saturation,oxygen saturation
225667,ionized calcium,calcium ionized,calcium ionized
