category,kcd7,kor_name,eng_name,kcd8
세세,A18.13,전립선의 결핵(N51.0*),Tuberculosis of prostate(N51.0*),A18.14
세세,A18.15,자궁경부의 결핵(N74.0*),Tuberculosis of cervix(N74.0*),A18.17
세세,A18.16,결핵성 여성골반염증질환(N74.1*),Tuberculous female pelvic inflammatory disease(N74.1*),A18.17
세세,A18.80,갑상선의 결핵(E35.0*),Tuberculosis of thyroid gland(E35.0*),A18.88
세세,A18.81,기타 내분비선의 결핵(E35.8*),Tuberculosis of other endocrine glands(E35.8*),A18.88
세세,A18.84,비장의 결핵(D77*),Tuberculosis of spleen(D77*),A18.88
세세,A41.80,장구균에 의한 패혈증,Sepsis due to Enterococcus,A40.20
세세,A41.88,기타 명시된 패혈증,Other specified sepsis,A41.8
세세,A59.01,편모충성 전립선염(N51.0*),Trichomonal prostatitis(N51.0*),A59.08
세세,A59.02,편모충성 방광염 및 요도염,Trichomonal cystitis and urethritis,A59.08
세세,A60.00,음경의 헤르페스바이러스감염,Herpesviral infection of penis,A60.01
세세,A60.02,헤르페스바이러스자궁경부염,Herpesviral cervicitis,A60.04
세세,A60.03,헤르페스바이러스외음질염,Herpesviral vulvovaginitis,A60.04
세세,A60.08,기타 및 상세불명의 비뇨생식관의 헤르페스바이러스감염,Herpesviral infection of other and unspecified urogenital tract,"A60.01, A60.04"
세세,B00.80,헤르페스바이러스간염(K77.0*),Herpesviral hepatitis(K77.0*),B00.8†
세세,B00.88,기타 헤르페스바이러스감염,Other herpesviral infection,B00.8
세세,B01.80,수두각막염,Varicella keratitis,B01.8
세세,B01.88,기타 수두합병증,Other varicella complications,B01.8
세세,B18.10,델타-병원체가 없는 만성 바이러스B형간염,Chronic viral hepatitis B without delta-agent,B18.19
세세,B18.18,만성 바이러스B형간염 면역관용기,Immune tolerance of chronic viral hepatitis B,"B18.00, B18.10"
세세,B37.81,칸디다장염,Candidal enteritis,B37.88
세세,B37.82,칸디다구순염,Candidal cheilitis,B37.88
세세,B37.83,칸디다외이도염(H62.2*),Candidal otitis externa(H62.2*),B37.2
소,B59†｜J17.3*,폐포자충증(J17.3*),Pneumocystosis(J17.3*),B48.5†｜J17.2*
세세,C46.70,소화기관의 카포시육종,Kaposi´s sarcoma of digestive organs,C46.7
세세,C46.71,폐의 카포시육종,Kaposi´s sarcoma of lung,C46.7
세세,C46.78,기타 부위의 카포시육종,Kaposi´s sarcoma of other sites,C46.7
세세,C79.50,골의 이차성 악성 신생물,Secondary malignant neoplasm of bone,C79.5
세세,C79.51,골수의 이차성 악성 신생물,Secondary malignant neoplasm of bone marrow,C79.5
세세,C83.30,T-세포/조직구 과다 대B-세포림프종,T-cell/histiocyte-rich large B-cell lymphoma,C83.3
세세,C83.31,형질모세포성 림프종,Plasmablastic lymphoma,C83.3
세세,C83.38,기타 및 상세불명의 미만성 대B-세포림프종,Other and unspecified diffuse large B-cell lymphoma,C83.3
세세,C91.00,전구체 B-세포 림프모구성 백혈병,Precursor B-cell lymphoblastic leukaemia,C91.0
세세,C91.01,전구체 T-세포 림프모구성 백혈병,Precursor T-cell lymphoblastic leukaemia,C91.0
세세,C91.02,성숙 T 급성 림프모구성 백혈병,Mature T ALL,C91.0
세세,C91.08,기타 및 상세불명의 급성 림프모구성 백혈병,Other and unspecified acute lymphoblastic leukaemia,C91.0
세세,C92.00,t(8;21)을 동반한 급성 골수모구성 백혈병,AML with t(8;21),C92.0
세세,C92.01,"급성 골수모구성 백혈병, inv(16)(p13;q22)","Acute myeloblastic leukaemia, inv(16)(p13;q22)",C92.0
세세,C92.08,기타 및 상세불명의 급성 골수모구성 백혈병,Other and unspecified acute myeloblastic leukaemia,C92.0
세세,D16.42,안와골의 양성 신생물,Benign neoplasm of orbit bone,D16.41
세세,D69.30,에반스증후군,Evans’ syndrome,D69.3
세세,D69.38,기타 특발성 혈소판감소성 자반,Other idiopathic thrombocytopenic purpura,D69.3
세,D70.0,호중구감소성 발열,Neutropenic fever,D70
세,D70.8,기타 무과립구증,Other agranulocytosis,D70
세세,G12.24,진행성 근위축,Progressive muscular atrophy,G12.28
세세,G12.25,X-연관척수연수근위축,X-linked spinobulbar muscular atrophy,G12.28
세세,G12.27,기타 유전성 운동신경세포병,Other genetic or hereditary motor neuron disease,G12.28
세세,G31.83,피질기저핵증후군,Corticobasal syndrome,G23.8
세,G56.4,복합부위통증증후군 Ⅱ형,Complex regional pain syndrome typeⅡ,G90.6
세세,G57.80,다리의 복합부위통증증후군 II형,Complex regional pain syndrome type II of lower limb,G90.6
세세,G57.88,다리의 기타 단일신경병증,Other mononeuropathies of lower limb,G57.8
세세,G58.80,기타 복합부위통증증후군 II형,Other complex regional pain syndrome type II,G90.6
세세,G58.81,다발성 복합부위통증증후군 II형,Multiple complex regional pain syndrome type II,G90.6
세세,G58.88,기타 명시된 단일신경병증,Other specified mononeuropathies,G58.8
세세,H01.00,궤양성 안검염,Ulcerative blepharitis,H01.0
세세,H01.01,인설성 안검염,Squamous blepharitis,H01.0
세세,H01.09,상세불명의 안검염,Unspecified blepharitis,H01.0
세세,H02.09,상세불명의 안검내반,Unspecified entropion of eyelid,H02.08
세세,H02.19,상세불명의 안검외반,Unspecified ectropion of eyelid,H02.18
세세,H02.29,상세불명의 토끼눈증,(Unspecified lagophthalmos,H02.28
세세,H02.49,상세불명의 안검하수,Unspecified ptosis of eyelid,H02.48
세세,H02.50,이상신경지배증후군,Abnormal innervation syndrome,H02.58
세세,H02.86,눈꺼풀의 지방탈출,Steatochalasis of eyelid,H02.88
세세,H04.02,눈물샘의 만성 확대,Chronic enlargement of lacrimal gland,H04.08
세세,H04.09,상세불명의 누선염,Unspecified dacryoadenitis,H04.08
세세,H04.12,눈물샘낭,Lacrimal gland cyst,H04.10
세세,H04.13,원발성 눈물샘위축,Primary lacrimal gland atrophy,H04.18
세세,H04.14,이차성 눈물샘위축,Secondary lacrimal gland atrophy,H04.18
세세,H04.15,눈물샘전위,Lacrimal gland dislocation,H04.18
